Product ID,Retailer,Product Name,StoreBrand,Ingredient 1,%,origin,Ingredient 2,%,origin,Ingredient 3,%,origin,Ingredient 4,%,origin,Ingredient 5,%,origin,Ingredient 6,%,origin,Ingredient 7,%,origin,Ingredient 8,%,origin,Ingredient 9,%,origin,Ingredient 10,%,origin,Ingredient 11,%,origin,Ingredient 12,%,origin,Ingredient 13,%,origin,Ingredient 14,%,origin,Ingredient 15,%,origin,Ingredient 16,%,origin,Ingredient 17,%,origin,Ingredient 18,%,origin,Ingredient 19,%,origin,Ingredient 20,%,origin,Ingredient 21,%,origin,Ingredient 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__1005_000022,Merkur,Vanillekipferl,yes,Palmöl ganz gehärtet,ja,,Weizenmehl,,,Butter,,,Haselnüsse,,,Zucker,,,Dextrose,,,Weizenstärke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000023,Lidl,Carré Milch-Haselnuss 10x,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000024,Lidl,Ambito Vollmilch,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000025,Lidl,Ambito Zartbitter,Yes,Zucker,,,Kakaomasse,,,Weizenmehl,,,Ölpalme (pflanzliches Fett),,,gemahlene Haselnüsse,"0,098",,Kakaobutter,,,Molkenerzeugnis,,,fettarmes Kakaopulver,,,Butterreinfett,,,Lecithine,,,Vollmilchpulver,,,Invertzuckersirup,,,natürliches Aroma,,,natürliches Vanille-Aroma mit anderen natürlichen Aromen,,,natürliches Vanille-Aroma ,,,Speisesalz,,,Magermilchpulver,,,Natriumcarbonate,,,Hühnereigelbpulver (Eier aus Bodenhaltung),,,Gewürz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000026,Lidl,Biscino Zartbitter,Yes,Zucker,,,Weizenmehl,"0,26",,Kakaomasse,,,Kakaobutter,,,Butter,"0,037",,Molkenerzeugnis,,,Glukosesirup,,,Butterreinfett,,,Natriumcarbonate,,,Diphosphate,,,Lecithine (enthält Soja),,,Speisesalz,,,Milchpulver,,,Citronensäure,,,natürliches Vanille-Aroma,,,natürliches Vanille-Aroma mit anderen natürlichen Aromen,,,Hühnereigelbpulver (Eiere aus Bodenhaltung),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000027,Lidl,Biscino Black & White,Yes,Zucker,,,Weizenmehl,"0,23",,Kakaobbutter,,,Vollmilchpulver,,,Butter,"0,037",,Butterreinfett,,,fettarmes Kakaopulver,,,Glukosesirup,,,Molkenerzeugnis,,,Natriumcarbonate,,,Diphosphate,,,Lecithine (enthält Soja),,,Speisesalz,,,natürliches Aroma,,,natürliches Vanille-Aroma,,,Citronensäure,,,Hühnereigelbpulver (Eier aus Bodenhaltung),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000028,Lidl,Biscino Vollmilch,Yes,Zucker,,,Weizenmehl,"0,26",,Kakaobutter,,,Kakaomasse,,,Magermilchpulver,,,Butter,"0,037",,Molkenerzeugnis,,,Butterreinfett,,,Glukosesirup,,,Laktose,,,Lecithine (enthält Soja),,,Natriumcarbonate,,,Diphosphate,,,Speisesalz,,,Milchpulver,,,Citronensäure,,,Natürliches Vanille-Aroma,,,Natürliches Vanille-Aroma mit anderen nazürlichen Aromen,,,Hühnereigelbpulver (Eier aus Bodenhaltung),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000029,Lidl,Chocolate Cookies mit 50% Schokostückchen,Yes,Zucker,,,Weizenmehl,"0,22",,Kakaomasse,,,Palmfett,,,Kakaobutter,,,Hühnervollei,,,Magermilchpulver,,,Glukosesirup,,,Butterreinfett,,,Weizenstärke,,,Glukose-Fruktose-Sirup,,,Diphosphate,,,Natriumcarbonate,,,Karamellzuckersirup,,,Sonnenblumenlecithine,,,Speisesalz,,,Vollmilchpulver,,,natürliches Aroma,,,Hühnereiklarpulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000030,Lidl,Cuoricini,Yes,Weichweizenmehl,,,natürliche Aromen,,,Zucker,,,Palmfett,,,Weizenmalzmehl,,,Speisesalz,,,Mono- und Diglyceride von Speisefettsäuren,,,Soja (pflanzliches Öl),,,Mais (Pflanzliches Öl),,,Sonnenblume (pflanzliches Öl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__Lidl005_000031,Lidl,BIO Dinkel-Honig-Tiere,Yes,Dinkelvollkornmehl,"0,39",,Honig,"0,25",,Haferflocken geschrotet,,,Palmfett,,,Kokosraspeln,,,Natriumcarbonate,,,Kaliumtartrate,,,Meersalz,,,Orangenöl,,,Bourbon-Vanille,,,Zimt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
