Product ID,Date of entry,Name or acronym of Researcher entering the data,"Retailer",Supermarket,"Product category",Frozen (yes/no),Product type,Complete product Name,Store brand (Yes / No),Brand,Name of Production Company (if stated),Country of production (if stated),Name of distribution Company (if stated),Address of distribution Company (if stated),Product Weight,g /l,Prize in Euro,Barcode Number (number below barcode),Organic? (Yes/No),Energy,kj / kcal,protein,carbohydrates,Sugar,Fett,saturated fat,Salt,Green claim? (Yes / No),Description,Number Ingreadeants,Number Labels,Number pakaging material
__REWE005_000058,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Doppel Keks,Yes,PENNY,,Holland,,"Postfach 0115P, A-2355 Wr. Neudorf",500g,,,,No,,,,,,,,,No,,12,1,1
__REWE005_000059,31.10.2016,Bannholzer,REWE,Penny,Snacks and Sweets,No,Cookies,Mini Doppel Keks Haselnuss,Yes,PENNY,,,Billa AG/Abteilung Penny,"Postfach 0115P, A-2355 Wr. Neudorf",250g ,,,,,,,,,,,,,No,,15,0,1
__Spar005_000060,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Feine Bäckerei florentiner,No,De Beukelaer,,,,,,,,,,,,,,,,,,,,24,1,0
__Spar005_000061,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Vollmilch Ohne Gleichen,No,Bahlsen,,Deutschland,,,,,,,,,,,,,,,,,,11,1,0
__Spar005_000062,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Loacker Gran Pasticceria,No,Loacker,,Italy,,,,,,,,,,,,,,,,,,11,0,0
__Spar005_000063,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Air Japonais,No,Swiss Delice,MIDOR AG,Switzeland,,,,,,,,,,,,,,,,,,15,1,0
__Spar005_000064,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Choco Pause,No,Milka,,,,,,,,,,,,,,,,,,,,9,0,0
__Spar005_000065,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Pure Butter Shortbread,No,,,Scotland,Walkers Shortbread Ltd,,,,,,,,,,,,,,,,,4,0,0
__Spar005_000066,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Chocolate Chip Cookies,Yes,Spar,,Deutschland,,,,,,,,,,,,,,,,,,10,0,0
__Spar005_000067,05.11.2016,Prem CHHETRI,Spar,Spar,Snacks and Sweets,No,Cookies,Choco Cookie Nut,No,,Milka,,,,,,,,,,,,,,,,,,,11,0,0
